Fondo,Honorarios Adm. SG
BAVSA Ahorro Plus - Clase A,2.5
BAVSA Ahorro Plus - Clase B,2
BAVSA Ahorro Plus - Clase C,1.8
BAVSA Ahorro Plus - Clase D,1.8
BAVSA Ahorro Plus - Clase E,1.5
BAVSA Ahorro Plus - Clase F,8
BAVSA Ahorro Plus - Clase G,8
BAVSA Ahorro Plus - Clase H,8
BAVSA Ahorro Plus - Clase I,8
BAVSA Ahorro Plus - Clase J,8
BAVSA Ahorro Plus - Clase K Ley Nº 27.743,1.5
BAVSA Ahorro Plus - Clase L Ley Nº 27.743,0
BAVSA Pesos Plus - Clase A,2.5
BAVSA Pesos Plus - Clase B,1.5
BAVSA Pesos Plus - Clase C,1
BAVSA Pesos Plus - Clase E Ley Nº 27.743,1.5
BAVSA Pesos Plus - Clase F Ley Nº 27.743,1.5
BAVSA Renta Balanceado IV - Clase A,2.1
BAVSA Renta Balanceado IV - Clase B,2
BAVSA Renta Balanceado IV - Clase C,8
BAVSA Renta Balanceado IV - Clase D,0.2
BAVSA Renta Balanceado IV - Clase F Ley Nº 27.743,2
BM Smart Corto Plazo - Clase A,2.5
BM Smart Corto Plazo - Clase B,1.8
BM Smart Corto Plazo - Clase C Ley N° 27.743,2.5
Chaco Abierto Ahorro - Clase A,2
Chaco Abierto Ahorro - Clase B,2
Champaquí Ahorro Mixto - Clase A,2.64
Champaquí Ahorro Pesos - Clase A,2.78
Champaquí Ahorro Pesos - Clase B,2.19
Champaquí Ahorro Pesos - Clase C,2.08
Champaquí Ahorro Pesos - Clase D Ley N° 27.743,2.78
Champaquí Renta Pesos - Clase A,2.9
Champaquí Renta Pesos - Clase B,2.4
Champaquí Renta Pesos - Clase D,2.4
Chimpay Pesos Conservador - Clase A,3
Chimpay Pesos Conservador - Clase B,2.25
Chimpay Pesos Conservador - Clase C,1.75
Cima Renta Dolares Corto Plazo - Clase D,0
CMA Proteccion - Clase A,2.3
CMA Proteccion - Clase B,1.95
CMA Proteccion - Clase Ley N° 27.743,2.3
Cohen Renta Fija Argentina - Clase A,3
Cohen Renta Fija Argentina - Clase B,2
Cohen Renta Fija Argentina - Clase C,1
Cohen Renta Fija Plus Titulos RP - Clase B,2
Compass Ahorro - Clase A,3
Compass Ahorro - Clase B,2.15
Compass Ahorro - Clase C,1.85
Compass Ahorro - Clase H Ley 27.743,3
Compass Ahorro - Clase I Ley 27.743,2.15
Compass Renta Fija V - Clase A,2
Compass Renta Fija V - Clase B,1.41
Compass Renta Fija V - Clase C,1.4
ConoSur Ahorro - Clase A,2.46
ConoSur Ahorro - Clase B,2.36
ConoSur Ahorro - Clase C,1.66
ConoSur Ahorro - Clase D Ley N° 27.723,2.36
ConoSur Financiamiento - Clase A,2.76
ConoSur Financiamiento - Clase B,2.56
ConoSur Financiamiento - Clase C,1.76
ConoSur Financiamiento - Clase D Ley N° 27.743,2.56
Consultatio Ahorro Plus Argentina F.C.I. - Clase A,2.75
Consultatio Ahorro Plus Argentina F.C.I. - Clase B,2
Consultatio Ahorro Plus Argentina F.C.I. - Clase C,1.25
Consultatio Diamante Plus - Clase A,1.8
Consultatio Diamante Plus - Clase B,1.6
Consultatio Diamante Plus - Clase C,0.6
Consultatio Diamante Plus - Clase D,0.55
Consultatio Multimercado VI - Clase A,0
Consultatio Multimercado VI - Clase B,0
Consultatio Multimercado VI - Clase C,0
Consultatio Multimercado VII - Clase A,0
Consultatio Multimercado VII - Clase B,0
Consultatio Multimercado VII - Clase C,0
Consultatio Multimercado VIII - Clase A,0
Consultatio Multimercado VIII - Clase B,0
Consultatio Multimercado VIII - Clase C,0
Consultatio Renta Fija Argentina F.C.I. - Clase A,3
Consultatio Renta Fija Argentina F.C.I. - Clase B,2.25
Consultatio Renta Local - Clase A,2.75
Consultatio Renta Local - Clase B,2
Consultatio Renta Local - Clase C,1.25
Consultatio Renta Nacional - Clase A,2.75
Consultatio Renta Nacional - Clase B,2
Consultatio Renta Nacional - Clase C,1.55
Consultatio Renta Nacional - Clase Z Ley N° 27.743,2
Consultatio SMSV Renta en Pesos - Clase A,2.5
Consultatio SMSV Renta en Pesos - Clase B,2.3
Consultatio SMSV Renta en Pesos - Clase C,1.4
Crecer Ahorro - Clase A,2.92
Crecer Ahorro - Clase B,2.17
Delta Ahorro - Clase A,3.5
Delta Ahorro - Clase B,2.5
Delta Ahorro Plus - Clase A,3.5
Delta Ahorro Plus - Clase B,2.5
Delta Ahorro Plus - Clase K Ley Nº 27.743,3.5
Delta Ahorro Plus - Clase L Ley Nº 27.743,2.5
Delta Gestion IV - Clase A,0.55
Delta Gestion IV - Clase B,0.55
Delta Gestion X - Clase B,0.6
Delta Gestion X - Clase E,1.7
Delta Patrimonio I - Clase A,2.8
Delta Patrimonio I - Clase B,2.25
FBA Gestion I - Clase B,1.379
FBA Renta Fija Pesos I - Clase A,2.779
FBA Renta Fija Pesos I - Clase B,2.179
FBA Renta Fija Pesos II - Clase A,2.779
FBA Renta Fija Pesos II - Clase B,2.779
FBA Renta Fija Pesos II - Clase B1,2.179
FBA Renta Fija Pesos II - Clase B2,2.179
FBA Renta Fija Pesos II - Clase B3,1.579
FBA Renta Fija Pesos II - Clase J Ley Nº 27.743,2.779
FBA Renta Fija Pesos II - Clase K Ley Nº 27.743,2.179
Fima Ahorro Pesos - Clase A,2.5075
Fima Ahorro Pesos - Clase B,2.04
Fima Ahorro Pesos - Clase C,1.7
Fima Ahorro Plus - Clase A,2.5075
Fima Ahorro Plus - Clase B,2.04
Fima Ahorro Plus - Clase C,1.7
Fima Ahorro Plus - Clase E,1.7
Fima Capital Plus - Clase A,2.5075
Fima Capital Plus - Clase B,2.125
Fima Capital Plus - Clase C,1.87
Fima Capital Plus - Clase E,1.7
Fima Renta Pesos - Clase A,2.5075
Fima Renta Pesos - Clase B,2.125
Fima Renta Pesos - Clase C,1.87
Fima Renta Pesos - Clase L Ley N° 27.743,2.5075
First Renta Pesos - Clase A,2
First Renta Pesos - Clase B,1.5
First Renta Pesos - Clase C,1
First Renta Pesos - Clase D,0.75
Fundcorp Performance - Clase A,2.4
Fundcorp Performance - Clase B,2.15
Fundcorp Performance - Clase C,0.9
Gainvest Ahorro - Clase A,0
Gainvest Ahorro - Clase B,0
Gainvest Ahorro - Clase C,0
Gainvest FF - Clase A,2.5
