Fondo,Honorarios Adm. SG
Bull Market Ahorro Dólares - Clase B,1.5
Bull Market Renta Fija Dólar - Clase A,1.5
Bull Market Renta Fija Dólar - Clase B,1.5
Chaco FCI Renta Fija Dólares - Clase A,0.6
Chaco FCI Renta Fija Dólares - Clase B,0.5
Chaco FCI Renta Fija Dólares - Clase Ley N° 27.743,0.7
Champaquí Renta Dólar - Clase A,1.1
Champaquí Renta Dólar - Clase B,0.9
Champaquí Renta Dólar - Clase E Ley N° 27.743,1.1
Champaquí Renta Dólar - Clase F Ley N° 27.743,0.9
Compass Opportunity - Clase D,3.6
Compass Opportunity - Clase E,2.15
Compass Opportunity - Clase F,1.85
Compass Renta Fija IV - Clase D,3.25
Compass Renta Fija IV - Clase E,2.2
Compass Renta Fija IV - Clase F,1.85
ConoSur Renta Fija Corporativa II - Clase A,1.26
ConoSur Renta Fija Corporativa II - Clase B,1.26
ConoSur Renta Fija Corporativa II - Clase C,0.76
ConoSur Renta Fija Corporativa II - Clase E,1.26
ConoSur Renta Fija Corporativa II - Clase F,1.2
Consultatio Gestion III - Clase G,2
Consultatio Gestion III - Clase H,2
Consultatio Gestion III - Clase I,1.1
Consultatio Income Fund - Clase A,1
Consultatio Income Fund - Clase B,0.9
Consultatio Income Fund - Clase Z Ley N° 27.743,1
Consultatio Multimercado III - Clase Z Ley N° 27.743,1.5
Consultatio Multimercado V - Clase Z Ley N° 27.743,1.2
Crecer Capital Dolares - Clase A,0.9
Crecer Capital Dolares - Clase B,0.65
Crecer Renta Dólares - Clase A,1.43
Crecer Renta Dólares - Clase B,1.12
CYC Dólares Renta Fija - Clase E Ley N° 27.743,1
CYC Dólares Renta Fija - Clase U,1
CYC Renta Fija en Dolares - Clase C,1
CYC Renta Fija en Dolares - Clase D,1
Dracma Estrategia Dólar I - Clase A,1.32
Dracma Estrategia Dólar I - Clase B,1.32
Dracma Estrategia Dólar I - Clase C,1.3
Dracma Estrategia Dólar I - Clase D,1.3
Dracma Estrategia Dólar I - Clase E Ley N° 27.743,1.82
FBA Renta Fija Dólar I - Clase A,0.679
FBA Renta Fija Dólar I - Clase B,0.479
FBA Renta Fija Dólar I - Clase J Ley N° 27.743,0.679
FBA Renta Fija Dólar I - Clase K Ley N° 27.743,0.479
FBA Renta Fija Dólar Plus I - Clase A,0.879
FBA Renta Fija Dólar Plus I - Clase B,0.679
FBA Renta Fija Dólar Plus I - Clase J Ley N° 27.743,0.879
Fima Renta Fija Dólares - Clase A,0.85
Fima Renta Fija Dólares - Clase B,0.7225
Fima Renta Fija Dólares - Clase C,0.595
Fima Renta Fija Dólares - Clase L Ley N° 27.743,0.85
Fundcorp Long Performance Plus - Clase A,0.4
Fundcorp Long Performance Plus - Clase B,0.3
Fundcorp Long Performance Plus - Clase C,0.3
Fundcorp Long Performance Plus - Clase D Ley N° 27.743,0.3
Fundcorp Performance Plus - Clase A,0.9
Fundcorp Performance Plus - Clase B,0.9
Fundcorp Performance Plus - Clase C,0.9
Fundcorp Performance Plus - Clase D Ley N° 27.743,0.9
Gainvest Balanceado - Clase D,2.5
Gainvest Balanceado - Clase E,2.5
Gainvest Balanceado - Clase F,2.5
Gainvest Regional - Clase D,0
Gainvest Regional - Clase E,0
Gainvest Regional - Clase F,0
Gainvest Renta Fija Dolares - Clase A,2
Gainvest Renta Fija Dolares - Clase B,2
Gainvest Renta Fija Dolares - Clase C,2
Gainvest Renta Fija Dolares - Clase G,0
Gainvest Renta Fija Dolares - Clase Ley N° 27.743,2
Galileo Estrategia - Clase C,2.5
Galileo Estrategia - Clase D,2
Galileo Premium - Clase C,1.5
Galileo Premium - Clase D,1.25
Galileo Renta - Clase C,1.5
Galileo Renta - Clase D,1.5
IAM Estrategia - Clase A,0.62
IAM Estrategia - Clase B,0.62
IAM Estrategia - Clase C,0.62
IAM Estrategia - Clase D,0.62
Intervalores Ahorro - Clase E,1.75
Intervalores Ahorro - Clase F,1.5
Intervalores Ahorro - Clase G,1.3
Intervalores Ahorro - Clase H,1.2
Intervalores Dólar Total Return - Clase A,1.75
Intervalores Dólar Total Return - Clase B,1.5
Intervalores Dólar Total Return - Clase C,1.25
Intervalores Dólar Total Return - Clase D,1.3
Intervalores Dólar Total Return - Clase E,2
Intervalores Dólar Total Return - Clase F,1.4
Intervalores Dólar Total Return - Clase G,1.3
Intervalores Dólar Total Return - Clase H,1.7
Lombard Renta Fija en Dolares - Clase A,0.44
Lombard Renta Fija en Dolares Fisicos,0
Lombard Renta Fija en Dolares JYF,0
MAF Renta Argentina - Clase D,1.65
MAF Renta Argentina - Clase E,1.65
MAF Renta Argentina 2 - Clase D,2.25
MAF Renta Argentina 2 - Clase E,2.25
MAF Renta Fija Cobertura - Clase C,5
MAF Renta Fija Cobertura - Clase D,2.36
Max Renta Fija Latam - Clase A,0.6
Max Renta Fija Latam - Clase B,0.4
Max Renta Fija Latam - Clase C,0.6
Max Renta Fija Latam - Clase D,0.4
Max Renta Fija Latam - Clase E N° 27.743,0.6
MEGAQM Ahorro Dólares - Clase A,1.2
MEGAQM Ahorro Dólares - Clase B,0.9
MEGAQM Ahorro Dólares - Clase Ley N° 27.743,1.2
MEGAQM Corporativo Dólares - Clase A,1.5
MEGAQM Corporativo Dólares - Clase B,1.1
MEGAQM Corporativo Dólares - Clase Ley N° 27.743,1.5
MEGAQM Gestión Dólares I - Clase A,0.979
MEGAQM Gestión Dólares I - Clase B,0.2
MEGAQM Gestión Dólares I - Clase C,0.2
MEGAQM Latam Corporativo - Clase A,1.4
MEGAQM Latam Corporativo - Clase B,0.85
MEGAQM Latam Corporativo - Clase Ley N° 27.743,1.4
Numancia Dólares - Clase A,0
Numancia Dólares - Clase B,1
Numancia Dólares - Clase C,0
Parakeet Balanced Fund II - Clase A,2
Parakeet Balanced Fund II - Clase B,1.25
Parakeet Balanced Fund II - Clase X Ley N° 27.743,0
Parakeet Balanced Fund III - Clase A,0
Parakeet Balanced Fund III - Clase B,0
Parakeet Dólar Estructurado - Clase A,0
Parakeet Dólar Estructurado - Clase B,0
Parakeet Dólar Estructurado - Clase C,0
Parakeet Global Opportunities Fund - Clase A,1.1
Parakeet Global Opportunities Fund - Clase B,1.1
Parakeet Global Opportunities Fund II - Clase A,0
Parakeet Global Opportunities Fund II - Clase B,0
Parakeet Global Opportunities Fund II - Clase C,0
Parakeet Global Opportunities Fund II - Clase D,0
Pionero Dólar Mix - Clase A,0.72
Pionero Dólar Mix - Clase B,0.72
Pionero Dólar Mix - Clase C Ley N° 27.743,0.72
Pionero Dólar Mix - Clase D,0.72
Pionero Dólar Mix - Clase E,0.72
Pionero Performance II - Clase D,0
Pionero Renta Dólares - Clase A,0.72
Pionero Renta Dólares - Clase B,0.54
Pionero Renta Dólares - Clase C Ley Nº 27.743,0.63
Pionero Renta Dólares Plus - Clase A,1.08
Pionero Renta Dólares Plus - Clase B,0.81
Pionero Renta Dólares Plus - Clase C Art. 11 Decreto 99/2019 y mod,1.08
Pionero Renta Dólares Plus - Clase D Ley Nº 27.743,0.63
Superfondo Renta $ - Clase K,0
Toronto Trust Crecimiento - Clase A,1.5
Toronto Trust Crecimiento - Clase B,0.4048
Toronto Trust Crecimiento - Clase C,1
Toronto Trust Crecimiento - Clase Ley N° 27.743,1.5
Ualintec Renta Dólares - Clase A,1.4
Ualintec Renta Dólares - Clase B,0.5
Ualintec Renta Dólares - Clase C,0.5
Zofingen Renta Fija Dólar - Clase A,0.65
Zofingen Renta Fija Dólar - Clase B,0.65
Zofingen Renta Fija Dólar - Clase C,0.6
Zofingen Renta Fija Dólar - Clase D,0.6
Argenfunds Calificado III - Clase A,1
Argenfunds Calificado III - Clase B,1
Valiant Renta Fija Dolares - Clase C,0.5
Valiant Renta Fija Dolares - Clase D,0.7
Valiant Renta Fija Dólares - Clase Ley N° 27.743,0.7
Balanz Renta Fija Global - Clase A,0.7
Balanz Renta Fija Global - Clase B,0.7
Compass Renta Fija II - Clase D,3.25
Compass Renta Fija II - Clase E,0.55
Compass Renta Fija II - Clase F,0.55
Adcap Renta Dólar - Clase C,0.02
Adcap Renta Dólar - Clase D,1.32
Adcap Renta Dólar - Clase E,1.02
Adcap Renta Dólar - Clase F,1.32
Adcap Renta Dólar - Clase Ley Nº 27.743,1.32
Allaria Dólar Latam - Clase A,0.95
Allaria Dólar Latam - Clase B,0.85
Allaria Dólar Latam - Clase C,0.65
Allaria Dólar Latam - Clase Ley Nº 27.743,1
Gainvest Estrategia I - Clase A,0
Gainvest Estrategia I - Clase B,0
Galileo Income - Clase A,1
Galileo Income - Clase B,0.75
Galileo Income - Clase C Ley N°27.743,1
Galileo Income - Clase D Ley N°27.743,0.75
MAF Global,0.7
MAF Global -  Clase RAP Ley N° 27.743,0.7
Max Renta Fija Dolares - Clase A,1.37
Max Renta Fija Dolares - Clase B,0.87
Max Renta Fija Dolares - Clase C,1.37
Max Renta Fija Dolares - Clase D,0.87
Max Renta Fija Dolares - Clase E Ley N° 27.743,1.37
CMA Dólar Dinamico - Clase A,1
CMA Dólar Dinamico - Clase B,0.8
CMA Dólar Dinamico - Clase D,1
CMA Dólar Dinamico - Clase E,0.8
Gainvest Global I - Clase A,1.4
Gainvest Global I - Clase B,1
Toronto Trust Liquidez Dólar - Clase  Ley N° 27.743,0.908
Toronto Trust Liquidez Dólar - Clase A,0.908
Toronto Trust Liquidez Dólar - Clase B,0.608
Toronto Trust Liquidez Dólar - Clase C,0.758
Compass Renta Fija - Clase A,2.4
Compass Renta Fija - Clase B,1.35
Compass Renta Fija - Clase C,1.1
Compass Renta Fija - Clase H Ley 27.743,2.75
Compass Renta Fija - Clase I Ley 27.743,2
Schroder Income - Clase A,2.25
Schroder Income - Clase B,1.2
Schroder Income - Clase C,0
Schroder Income - Clase D,0
Schroder Income - Clase E,0.5
Schroder Income - Clase F Ley N° 27.743,2.25
IEB Renta Fija Dólar 2 - Clase A,0.3
IEB Renta Fija Dólar 2 - Clase B,0.3
IEB Renta Fija Dólar 2 - Clase Ley N° 27.743,0.3
SBS Latam - Clase A,2
SBS Latam - Clase B,1.5
SBS Latam - Clase Ley N° 27.743,2
Superfondo Renta Fija Latam - Clase A,0.296
Superfondo Renta Fija Latam - Clase B,0.371
Superfondo Renta Fija Latam - Clase C,0.471
Superfondo Renta Fija Latam - Clase D,0.471
Superfondo Renta Fija Latam - Clase E,0.371
Superfondo Renta Fija Latam - Clase F,0.221
Alamerica Renta Fija Dolar Latam - Clase A,0
Alamerica Renta Fija Dolar Latam - Clase B,0.65
Alamerica Renta Fija Dolar Latam - Clase C,0
Alamerica Renta Fija Dolar Latam - Clase D,0.8
Alamerica Renta Fija Dolar Latam - Clase E,0.65
Alamerica Renta Fija Dolar Latam - Clase F,0.4
Alamerica Renta Fija Dolar Latam - Clase G,0
Alamerica Renta Fija Dolar Latam - Clase H,0.4
Alamerica Renta Fija Dolar Latam - Clase I,0
Alamerica Renta Fija Dolar Latam - Clase J,0.95
Balanz Capital Sudamericano - Clase A,1
Balanz Capital Sudamericano - Clase B,0.75
Balanz Capital Sudamericano - Clase C,0.6
Balanz Capital Sudamericano - Clase D,0.6
Balanz Capital Sudamericano - Clase E,1
Balanz Capital Sudamericano - Clase F,0.75
Balanz Capital Sudamericano - Clase G,1.42
Balanz Capital Sudamericano - Clase L Ley Nº 27.743,1
CMA Renta Dólar - Clase A,1.75
CMA Renta Dólar - Clase B,1.5
CMA Renta Dólar - Clase C,0.83
CMA Renta Dólar - Clase F,1.75
CMA Renta Dólar - Clase G,1.5
CMA Renta Dólar - Clase H,0.83
CMA Renta Dólar - Clase Ley N° 27.743,1.75
Cohen Renta Fija Dólares - Clase A,1.4
Cohen Renta Fija Dólares - Clase B,1.2
Cohen Renta Fija Dólares - Clase C,1
Cohen Renta Fija Dólares - Clase I,1.2
Fima Renta Fija Internacional - Clase A,0.51
Fima Renta Fija Internacional - Clase B,0.425
Fima Renta Fija Internacional - Clase C,0.34
Galileo Fixed Income - Clase A,2
Galileo Fixed Income - Clase B,1.25
IAM Performance Americas - Clase A,0.56
IAM Performance Americas - Clase B,0.56
IAM Performance Americas - Clase C,0.56
IAM Performance Americas - Clase D,0.56
IAM Performance Americas - Clase E,0.56
IAM Performance Americas - Clase F,0.56
IAM Performance Americas - Clase G,0.56
IAM Performance Americas - Clase Ley N° 27.743,0.56
MEGAQM Renta Fija LATAM - Clase A,1.4
MEGAQM Renta Fija LATAM - Clase B,1
MEGAQM Renta Fija LATAM - Clase D,0.7
MEGAQM Renta Fija LATAM - Clase Ley N° 27.743,1.4
FBA Renta Fija Dolar II - Clase B,0.479
Renta Fija Dolar Estadounidense Billete,nan
Consultatio Multimercado IX - Clase A,0
Consultatio Multimercado IX - Clase B,0
Consultatio Multimercado IX - Clase C,0
Delta Ahorro Dolares - Clase A,0.8
Delta Gestion IV - Clase I,0.55
Delta Patrimonio I - Clase I,2.3
Delta Renta Dólares Plus - Clase D,1.25
Delta Renta Dólares Plus - Clase E,0
Pionero Ahorro Dolár Plus - Clase D,0.54
Pionero Ahorro Dolár Plus - Clase E,0
Pionero Ahorro Dólares - Clase G,0.56
Pionero Ahorro Dólares - Clase H,0.47
Pionero Inversión Dólar - Clase D,0
Pionero Inversión Dólar - Clase E,0.72
Superfondo Renta Fija Dólares - Clase A,0.2295
Superfondo Renta Fija Dólares - Clase B,0.326
Superfondo Renta Fija Dólares - Clase C,0.301
Superfondo Renta Fija Dólares - Clase D,0.301
Superfondo Renta Fija Dólares - Clase E,0.238
Superfondo Renta Fija Dólares - Clase F,0.1735
Superfondo Renta Fija Dólares - Clase H,0.4274
Superfondo Renta Fija Dólares - Clase I,0.3155
Delta Gestion IX - Clase I,1.8
Mills Renta Fija Dólares - Clase XDA,1.4
Mills Renta Fija Dólares - Clase XDB1,1.25
Novus Ahorro Dólares - Clase D Ley N° 27.743,0.95
Superfondo Estrategico - Clase A,0.2485
Superfondo Estrategico - Clase B,0.326
Superfondo Estrategico - Clase C,0
Superfondo Estrategico - Clase D,0
Superfondo Estrategico - Clase E,0
Superfondo Estrategico - Clase F,0
Superfondo Estrategico - Clase H,0.4655
Superfondo Estrategico - Clase I,0.3155
Superfondo Estrategico - Clase M Art. 11 Decreto 99/2019 y mod,0.2485
Superfondo Estrategico - Clase N Ley N° 27.743,0.4674
Superfondo Renta Fija Dólares II - Clase A,0.136
Superfondo Renta Fija Dólares II - Clase B,0.201
Superfondo Renta Fija Dólares II - Clase C Ley N° 27.743,0.1369
Superfondo Renta Fija Dólares II - Clase D Ley N° 27.743,0.2424
Superfondo Renta Fija Dólares II - Clase E,0.201
Superfondo Renta Fija Dólares II - Clase F,0
Alpha Renta Capital Dólar - Clase J,1.859
Alpha Renta Capital Dólar - Clase K,2.881
Alpha Renta Fija Global - Clase J,0.634
Alpha Renta Fija Global - Clase K,0.815
Pionero Dólar Gestión - Clase D,0.675
Pionero Dólar Gestión - Clase E,0.675
Pionero Renta Dólar Estrategia - Clase D,1.35
Pionero Renta Dólar Estrategia - Clase E,0.99
Pionero Renta Fija Dólares - Clase G,0.92
Pionero Renta Fija Dólares - Clase H,0
Alpha Renta Fija Corporativa Dólar - Clase A,0.7968
Alpha Renta Fija Corporativa Dólar - Clase B,0.8712
Alpha Renta Fija Corporativa Dólar - Clase C,0.7968
Alpha Renta Fija Corporativa Dólar - Clase J,0.7968
Alpha Renta Fija Corporativa Dólar - Clase K,0.8712
Alpha Renta Fija Corporativa Dólar - Clase Q - Ley Nº 27.743,0.8712
Consultatio Gestion Xl Dolar - Clase A,2.4
Consultatio Gestion Xl Dolar - Clase B,0.54
Consultatio Gestion Xl Dolar - Clase C,0.54
Consultatio Multimercado III - Clase A,1.6
Consultatio Multimercado III - Clase B,1.5
Consultatio Multimercado III - Clase C,1
Consultatio Multimercado IV - Clase A,2
Consultatio Multimercado IV - Clase B,1.9
Consultatio Multimercado IV - Clase C,1.9
Consultatio Multimercado V - Clase A,1.4
Consultatio Multimercado V - Clase B,1.2
Consultatio Multimercado V - Clase C,1
Pionero Internacional - Clase A,0
Pionero Internacional - Clase B,0
Pionero Internacional - Clase C,0
Pionero Renta Dólares - Clase D,0.72
Pionero Renta Dólares - Clase E,0.54
Argenfunds Estrategia III - Clase A,0.05
Argenfunds Estrategia III - Clase B,0.05
Argenfunds Inversión Dólares - Clase A,0.05
Argenfunds Inversión Dólares - Clase B,0.15
Superfondo Renta Global - Clase A,0
Superfondo Renta Global - Clase B,0
Superfondo Renta Global - Clase C,0
Superfondo Renta Global - Clase D,0
Superfondo Renta Global - Clase E,0
Superfondo Renta Global - Clase F,0
Consultatio Multimercado X - Clase A,0
Consultatio Multimercado X - Clase B,0
Consultatio Multimercado X - Clase C,0
Renta Mixta Peso Argentina,nan
Adcap Balanceado III - Clase A,0.52
Adcap Balanceado III - Clase B,0.52
Adcap Balanceado III - Clase Ley Nº 27.743,0.52
Adcap Balanceado XII - Clase A,3.52
Adcap Balanceado XII - Clase B,2.52
Adcap Balanceado XII - Clase C,0
Adcap Balanceado XII - Clase Ley Nº 27.743,3.52
Adcap Balanceado XXVI - Clase A,0.4711
Adcap Balanceado XXVI - Clase B,0.4711
Adcap Balanceado XXVI - Clase C,0.477
Adcap Balanceado XXVI - Clase Ley Nº 27.743,0.4711
Allaria Gestión V - Clase A,2.02
Allaria Gestión V - Clase B,2.02
Allaria Gestión V - Clase C,2.02
Alpha Retorno Total - Clase A,1.8283
Alpha Retorno Total - Clase B,3.8174
Alpha Retorno Total - Clase C,1.8283
Alpha Retorno Total - Clase D,3.8174
Alpha Retorno Total - Clase I,1.8283
Alpha Retorno Total - Clase J,1.8255
Alpha Retorno Total - Clase K,3.8135
Axis Estrategia 1 - Clase A,2
Axis Estrategia 1 - Clase B,1.8
Axis Estrategia 22 - Clase A,0.75
Axis Estrategia 22 - Clase B,0.75
Axis Estrategia 23 - Clase A,1.88
Axis Estrategia 23 - Clase B,1.88
Axis Estrategia 24 - Clase A,4.4
Axis Estrategia 24 - Clase B,4.4
Axis Estrategia 25 - Clase A,0.6
Axis Estrategia 25 - Clase B,0.6
Axis Estrategia 8 - Clase A,2.5
Axis Estrategia 8 - Clase B,2
Benedit Multiestrategia - Clase A,2.75
Benedit Multiestrategia - Clase B,2.5
Benedit Multiestrategia - Clase F,1.65
Benedit Multiestrategia - Clase X Ley N° 27.743,2.75
Benedit Multiestrategia - Clase Y Ley N° 27.743,2.5
Compass Renta Mixta III	- Clase A,2.45
Compass Renta Mixta III	- Clase B,2
Compass Renta Mixta III	- Clase C,1.65
Compass Renta Mixta III	- Clase H Ley N° 27.743,2.45
Compass Renta Mixta III	- Clase I Ley N° 27.743,2
Consultatio Renta Pesos - Clase A,2.2
Consultatio Renta Pesos - Clase B,1.9
Consultatio Renta Pesos - Clase C,0.6
Consultatio Renta Pesos - Clase D,0.8
Consultatio Retorno Total - Clase A,2.5
Consultatio Retorno Total - Clase B,2.3
Consultatio Retorno Total - Clase C,0.6
Consultatio Retorno Total - Clase D,1.9
Gainvest Global II - Clase A,0.6
Gainvest Global II - Clase B,0.6
Gainvest Global III - Clase A,0.6
Gainvest Global III - Clase B,0.6
GSS I - Clase A,0.744
GSS I - Clase B,1.2
Lombard Pesos Plus,0.384
SBS Patrimonio III - Clase A,3.5
SBS Patrimonio III - Clase B,1.75
Wise Capital Saving - Clase A,5
Wise Capital Saving - Clase B,5
Wise Capital Saving - Clase C,5
Wise Capital Saving - Clase D,3
Wise Capital Saving - Clase H,5
Wise Capital Saving - Clase J Ley N° 27.743,5
Zofingen Multi Strategy II - Clase A,1.02
Zofingen Multi Strategy II - Clase B,1.02
Argenfunds Retorno Absoluto - Clase B,1.9
BAVSA Global II - Clase A,2
BAVSA Global II - Clase B,2
BAVSA Global II - Clase C,8
BAVSA Global II - Clase D,8
BAVSA Global II - Clase E,2
BAVSA Renta Balanceado - Clase A,2
BAVSA Renta Balanceado - Clase B,2
BAVSA Renta Balanceado - Clase C,2
BAVSA Renta Balanceado - Clase D,2
BAVSA Renta Balanceado - Clase J,0
BAVSA Renta Balanceado III - Clase A,0.6
BAVSA Renta Balanceado III - Clase B,0.6
BAVSA Retorno Total - Clase A,1.85
BAVSA Retorno Total - Clase B,1.85
BAVSA Retorno Total - Clase C,1.85
BAVSA Retorno Total - Clase D,1.85
BAVSA Retorno Total - Clase E,1.85
BAVSA Retorno Total - Clase F,0
Compass Renta Plus II - Clase A,3
Compass Renta Plus II - Clase B,3
Compass Renta Plus II - Clase C,3
Delta Gestion V - Clase B,0.7
Delta Gestion VII - Clase B,0.7
Delta Multimercado I - Clase A,2.5
Delta Multimercado I - Clase B,2
Delta Multimercado I - Clase K Ley Nº 27.743,2.5
Delta Multimercado I - Clase L Ley Nº 27.743,2
Dracma Balanceado - Clase A,3.02
Dracma Balanceado - Clase B,2.52
Gainvest Crecimiento - Clase A,1.5
Gainvest Crecimiento - Clase B,1.5
IEB Balanceado - Clase A,0
IEB Balanceado - Clase B,0
IEB Balanceado - Clase C,0
IEB Estructurado - Clase A,1
IEB Estructurado - Clase B,1
IEB Estructurado - Clase Ley N° 27.743,0
IEB Estructurado II - Clase A,1.4
IEB Estructurado II - Clase B,1.4
IEB Estructurado II - Clase Ley N° 27.743,0
IEB Estructurado III - Clase A,0.6
IEB Estructurado III - Clase B,0.6
IEB Estructurado III - Clase Ley N°27.743,0.6
IEB Estructurado IV - Clase A,0
IEB Estructurado IV - Clase B,0
IEB Estructurado IV - Clase X Ley N° 27.743,0
Mabra BAVSA Pesos Plus - Clase A,2.5
Mabra BAVSA Pesos Plus - Clase B,2.5
Mabra BAVSA Pesos Plus - Clase C,2.5
Mabra BAVSA Pesos Plus - Clase D,2.5
Mabra BAVSA Pesos Plus - Clase E - Ley Nº 27.743,2.5
MAF Renta Balanceada - Clase U,2.15
MAF Renta Mixta,0.81
Novus Balanceado - Clase A,4
Novus Balanceado - Clase B,4
Novus Balanceado - Clase C,4
Novus Balanceado - Clase D,2
Novus Balanceado - Clase E,2.2
Novus Balanceado - Clase F,2.2
Novus Balanceado - Clase G,2.2
Novus Balanceado - Clase H,2.2
Novus Gestion - Clase A,0.5
Novus Gestion - Clase B,0.5
Novus Gestion - Clase C,0.5
Novus Gestion - Clase D,0.5
Novus Gestion - Clase E,0.5
Novus Gestion - Clase F,0.5
Novus Gestion - Clase G,0.5
Novus Gestion - Clase H,0.5
Novus Gestion - Clase I Ley N° 27.743,0.5
Novus Gestion II - Clase A,3
Novus Gestion II - Clase B,2.2
Novus Gestion II - Clase C,3
Novus Multiestrategia - Clase A,2.5
Novus Multiestrategia - Clase B,2
Novus Multiestrategia - Clase C,2.5
Novus Multiestrategia - Clase D,2
Novus Multiestrategia - Clase E,2.5
Novus Multiestrategia - Clase F,2.5
Novus Multiestrategia - Clase G,2.5
Novus Multiestrategia - Clase H,2
Novus Performance - Clase A,1.9
Novus Performance - Clase B,1.5
Novus Performance - Clase C,1.9
Novus Performance - Clase D,1.2
Novus Performance - Clase E,1.9
Novus Performance - Clase F,1.5
Novus Performance - Clase G,1.9
Novus Performance - Clase H,1.2
Novus Performance - Clase I Ley N° 27.743,1.9
Novus Renta Balanceado - Clase A,4
Novus Renta Balanceado - Clase B,4
Novus Renta Balanceado - Clase C,4
Novus Renta Balanceado - Clase D,2
Novus Renta Balanceado - Clase E,0.65
Novus Renta Balanceado - Clase F,0.65
Novus Renta Balanceado - Clase G,0.65
Novus Renta Balanceado - Clase H,0.65
Novus Renta Capital - Clase A,1.7
Novus Renta Capital - Clase B,1.7
Novus Renta Capital - Clase C,1.7
Novus Renta Mixta - Clase A,0.4
Novus Renta Mixta - Clase B,0.4
Novus Renta Mixta - Clase C,0.4
Novus Renta Mixta - Clase D,0.4
Novus Renta Mixta - Clase E,0.4
Novus Renta Mixta - Clase F,0.4
Novus Renta Mixta - Clase G,0.4
Novus Renta Mixta - Clase H,0.4
Pellegrini Agro FCI - Clase A,3
Pellegrini Agro FCI - Clase B,2.75
Pionero Multiestrategia Mix - Clase B,0.5625
Pionero Multiestrategia Plus - Clase B,0
SBS Patrimonio IX - Clase A,3.5
SBS Patrimonio IX - Clase B,0.4
SBS Patrimonio V - Clase A,2.5
SBS Patrimonio V - Clase B,0.3
SBS Patrimonio V - Clase Ley N° 27.743,2.5
SBS Patrimonio VI - Clase A,2.5
SBS Patrimonio VI - Clase B,1.25
SBS Patrimonio VI - Clase Ley N° 27.743,2.5
SBS Patrimonio VIII - Clase A,3.5
SBS Patrimonio VIII - Clase B,0.6
Schroder Balanceado - Clase A,2.5
Schroder Balanceado - Clase B,2.5
Schroder Balanceado - Clase C,2.5
Schroder Multiactivos - Clase A,0.65
Schroder Multiactivos - Clase B,0.65
Schroder Multiactivos - Clase C,0.65
Schroder Renta Global Dos - Clase A,0.52
Schroder Renta Global Dos - Clase B,0.52
Schroder Renta Global Dos - Clase C,0.52
Schroder Retorno Absoluto - Clase A,2.5
Schroder Retorno Absoluto - Clase B,2.5
Schroder Retorno Absoluto - Clase C,2.5
Superfondo Renta Balance II - Clase B,0.8947
1810 Renta Mixta,0.05
Adcap Cima Renta Total - Clase A,2.5
Adcap Cima Renta Total - Clase B,1.25
Adcap Cima Renta Total - Clase C,1.25
Allaria Gestion - Clase A,3
Allaria Gestion - Clase B,3
Allaria Renta Balanceada I - Clase A,0.899
Allaria Renta Balanceada I - Clase B,0.899
Alpha Planeamiento Dinamico - Clase A,3.835
Alpha Planeamiento Dinamico - Clase B,3.7865
Alpha Planeamiento Dinamico - Clase C,9.004
Alpha Planeamiento Dinamico - Clase D,3.7865
Alpha Planeamiento Dinamico - Clase I,9.004
Alpha Planeamiento Dinamico - Clase J,9.004
Alpha Planeamiento Dinamico - Clase K,3.7865
Alpha Planeamiento Equilibrado - Clase A,3.475
Alpha Planeamiento Equilibrado - Clase B,3.4165
Alpha Planeamiento Equilibrado - Clase C,8.985
Alpha Planeamiento Equilibrado - Clase D,3.4165
Alpha Planeamiento Equilibrado - Clase I,8.985
Alpha Planeamiento Equilibrado - Clase J,8.985
Alpha Planeamiento Equilibrado - Clase K,3.4165
Argentaria BAVSA Global - Clase B,0.55
Argentaria BAVSA Global - Clase D,0.55
Argentaria BAVSA Global - Clase E,0.55
Argentaria BAVSA Global - Clase K Ley Nº 27.743,0
Argentaria BAVSA Global - Clase L Ley Nº 27.743,0
Arpenta (ex Mercosur),2.99
Axis Estrategia 17 - Clase A,2.5
Axis Estrategia 17 - Clase B,2.5
Axis Estrategia 17 - Clase X Ley N° 27.743,2.5
Axis Estrategia 17 - Clase Y Ley N° 27.743,2.5
Balanz Renta Fija Estrategica - Clase A,2.53
Balanz Renta Fija Estrategica - Clase B,2.03
Balanz Renta Fija Estrategica - Clase C,2.03
Balanz Renta Fija Estrategica - Clase D,2.03
Balanz Renta Fija Estrategica - Clase E,2.03
Balanz Renta Fija Estrategica - Clase F,2.53
Balanz Renta Fija Estrategica - Clase G,2.53
Balanz Retorno Total - Clase A,2.77
Balanz Retorno Total - Clase B,2.53
Balanz Retorno Total - Clase C,2.28
Balanz Retorno Total - Clase D,2.28
Balanz Retorno Total - Clase E,2.77
Balanz Retorno Total - Clase F,2.53
Balanz Retorno Total - Clase G,2.53
Balanz Retorno Total - Clase L Ley Nº 27.743,2.77
Compass Renta Mixta - Clase A,3
Compass Renta Mixta - Clase B,0.5032
Compass Renta Mixta - Clase C,0.5032
Compass Renta Plus - Clase A,3
Compass Renta Plus - Clase B,0.55
Compass Renta Plus - Clase C,0.55
Consultatio Arbitraje - Clase A,0.6411
Consultatio Arbitraje - Clase B,0.6411
Consultatio Arbitraje - Clase C,0.6411
Consultatio Tactico - Clase A,2.55
Consultatio Tactico - Clase B,2
Consultatio Tactico - Clase C,2
Dracma Multiestrategia - Clase A,2.02
