boleto,concertacion,id_cuenta,denominacion,mercado,moneda,operacion,tipo_operacion,instrumento,segmento,nivel_3,etapa,es_cierre,cantidad_ops,bruto,arancel,mep,estado_match,n_movimientos,tasa_pct,tasa_raw,cod_instrumento,nominal_info,nm_fecha,nm_ticker,nm_categoria,nm_op,nm_cantidad,nm_precio,nm_importe,nm_moneda,nm_plazo,nm_estado,nm_cuenta,nm_informacion,nm_cantidad_total_boleto,nm_importe_total_boleto
BOL 2026017400,2026-02-03,181,DON OSVALDO S.A,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UMV150460109] #UMV150460109 Nro. 138594 Vto. 17/04/2026,PRODUCTORES,PJ GRANDE,,NO,41217,58546738.41,119669.52,1457.84,OK,1,11.0,11,#UMV150460109,41217.0,2026-02-03,,otro,,41217,,-58708776.64,ARS,,DIS,[181] DON OSVALDO S.A,"Compra [#UMV150460109] 41.217,00@11% (ARS Inm)",41217,-58708776.64
BOL 2026017401,2026-02-03,181,DON OSVALDO S.A,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UMV310360037] #UMV310360037 Nro. 138591 Vto. 06/04/2026,PRODUCTORES,PJ GRANDE,,NO,41037,58480744.08,101193.26,1457.84,OK,1,11.0,11,#UMV310360037,41037.0,2026-02-03,,otro,,41037,,-58617812.01,ARS,,DIS,[181] DON OSVALDO S.A,"Compra [#UMV310360037] 41.037,00@11% (ARS Inm)",41037,-58617812.01
BOL 2026017402,2026-02-03,181,DON OSVALDO S.A,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UMV060460027] #UMV060460027 Nro. 138592 Vto. 08/04/2026,PRODUCTORES,PJ GRANDE,,NO,41110,58550135.39,104643.38,1457.84,OK,1,11.0,11,#UMV060460027,41110.0,2026-02-03,,otro,,41110,,-58691867.63,ARS,,DIS,[181] DON OSVALDO S.A,"Compra [#UMV060460027] 41.110,00@11% (ARS Inm)",41110,-58691867.63
BOL 2026017403,2026-02-03,181,DON OSVALDO S.A,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UMV130460032] #UMV130460032 Nro. 138593 Vto. 15/04/2026,PRODUCTORES,PJ GRANDE,,NO,41190,58542905.92,116314.66,1457.84,OK,1,11.0,11,#UMV130460032,41190.0,2026-02-03,,otro,,41190,,-58700411.39,ARS,,DIS,[181] DON OSVALDO S.A,"Compra [#UMV130460032] 41.190,00@11% (ARS Inm)",41190,-58700411.39
BOL 2026016872,2026-02-02,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*CUY280400019] *CUY280400019 Nro. 1618 Vto. 30/04/2026,INSTITUCIONALES,PJ GRANDE,,NO,42500000,39607057.14,20027.4,1449.49,OK,1,31.0,31,*CUY280400019,42500000.0,2026-02-02,,otro,,42500000,,-39645028.65,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*CUY280400019] 42.500.000,00@31% (ARS 24hs)",42500000,-39645028.65
BOL 2026016873,2026-02-02,1108,TAMBOS Y CABAÑAS LAS CUATRO MARIAS SA,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CUY280400019] *CUY280400019 Nro. 1618 Vto. 30/04/2026,TERCEROS,PJ GRANDE,,NO,42500000,39607057.14,100136.99,1449.49,OK,1,31.0,31,*CUY280400019,42500000.0,2026-02-02,,otro,,-42500000,,39458414.64,ARS,,DIS,[1108] TAMBOS Y CABAÑAS LAS CUATRO MARIAS SA,"Subasta [*CUY280400019] 42.500.000,00@31% (ARS 24hs)",-42500000,39458414.64
BOL 2026016874,2026-02-02,1110,RAYO PAMPA SA,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CUY270400021] *CUY270400021 Nro. 367 Vto. 29/04/2026,TERCEROS,PJ MEDIANA,,NO,42500000,39638431.07,98972.6,1449.49,OK,1,31.0,31,*CUY270400021,42500000.0,2026-02-02,,otro,,-42500000,,39491495.47,ARS,,DIS,[1110] RAYO PAMPA SA,"Subasta [*CUY270400021] 42.500.000,00@31% (ARS 24hs)",-42500000,39491495.47
BOL 2026016875,2026-02-02,1110,RAYO PAMPA SA,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CUY290400028] *CUY290400028 Nro. 368 Vto. 04/05/2026,TERCEROS,PJ MEDIANA,,NO,42500000,39482056.5,104794.52,1449.49,OK,1,31.0,31,*CUY290400028,42500000.0,2026-02-02,,otro,,-42500000,,39326591.16,ARS,,DIS,[1110] RAYO PAMPA SA,"Subasta [*CUY290400028] 42.500.000,00@31% (ARS 24hs)",-42500000,39326591.16
BOL 2026016876,2026-02-02,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*CUY290400028] *CUY290400028 Nro. 368 Vto. 04/05/2026,INSTITUCIONALES,PJ GRANDE,,NO,42500000,39482056.5,20958.9,1449.49,OK,1,31.0,31,*CUY290400028,42500000.0,2026-02-02,,otro,,42500000,,-39521748.76,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*CUY290400028] 42.500.000,00@31% (ARS 24hs)",42500000,-39521748.76
BOL 2026016877,2026-02-02,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*CUY270400021] *CUY270400021 Nro. 367 Vto. 29/04/2026,INSTITUCIONALES,PJ GRANDE,,NO,42500000,39638431.07,19794.52,1449.49,OK,1,31.0,31,*CUY270400021,42500000.0,2026-02-02,,otro,,42500000,,-39675971.82,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*CUY270400021] 42.500.000,00@31% (ARS 24hs)",42500000,-39675971.82
